GPA;IntGrade;Account;Pcertificate;DurationH;Full_Part;Days;Online;Cert_Rotation;Org_Type;Org_Sect;Satisfaction;Org_Job_Offer;Org_recuitement;Getting_Job;Emp_Status; co-curricular ;Int_fields
2.50 < GPA < 3;A+;Yes;No;120 hours;Full time;3;Online internship;Professional Certificate;IT services firms;Government;4;No;No;No;Employed full-time;0;Data Analytics, Security, Web development, Programming
3.50 < GPA < 4;A+;Yes;Yes;120 hours;Full time;5;Online internship;Professional Certificate;IT services firms;Private;4;No;No;No;You continue your studies;0;Security, Risk Management
4 < GPA < 4.5;A+;Yes;Yes;More than 200 hours;Full time;5;Online internship;Professional Certificate;IT services firms;Government;4;No;No;Training;Training;0;Technical Pre-sales
3 < GPA < 3.5;A+;Yes;No;More than 200 hours;Full time;5;On-site internship;none;Education;Government;4;No;No;Yes;Employed full-time;0;Data Analytics, IT Maintenance, ERP, Web development
3.50 < GPA < 4;A+;Yes;Yes;120 hours;Full time;5;Online internship;Rotation;IT services firms;Government;4;No;Yes;No;Unemployed and looking for work;0;Networking, Security
3.50 < GPA < 4;A;No;No;120 hours;Part-time;2;Online internship;Professional Certificate;IT services firms;Private;4;No;No;No;Unemployed and looking for work;0;Information Systems Management, Data Analytics, Networking, IT Maintenance, Security, Database Management, ERP, Risk Management, Software Engineering
3.50 < GPA < 4;A+;No;Yes;120 hours;Full time;5;Online internship;Professional Certificate;IT services firms;Government;4;No;Yes;No;Unemployed and looking for work;0;Database Management, Web development, Programming, Software Engineering
2.50 < GPA < 3;B+;Yes;Yes;120 hours;Part-time;2;Online internship;Rotation, Professional Certificate;Education;Government;4;No;No;No;Unemployed and looking for work;0;Networking
4.50 < GPA < 4.75;A+;Yes;No;More than 200 hours;Full time;5;Online internship;Rotation;IT services firms;Government;4;No;No;No;Unemployed and looking for work;0;Data Analytics, Networking, IT Maintenance, Security, Database Management, Web development
4 < GPA < 4.5;A+;Yes;Yes;More than 200 hours;Full time;5;On-site internship;Professional Certificate;IT services firms;Private;4;No;Yes;No;Unemployed and looking for work;0;Information Systems Management, Business Analysis
4 < GPA < 4.5;A+;Yes;Yes;120 hours;Part-time;3;On-site internship;Professional Certificate;Education;Private;3;No;No;Yes;Employed full-time;0;Networking
